gate,check_id,acceptance_item,status,evidence_link,owner
G2_RBAC_SECURITY,G2_RBAC_SECURITY-02,Cross-tenant access bị chặn,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-03,Customer không thấy internal/private,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-04,Admin action có audit,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G2_RBAC_SECURITY,G2_RBAC_SECURITY-05,Upload .exe bị chặn,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-01,Tạo org/project/member,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-02,Task CRUD/assign/status,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-03,Kanban move hợp lệ,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-04,Evidence approval approve/reject,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-05,Progress đúng basic/weighted,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G3_CORE_WORKFLOW,G3_CORE_WORKFLOW-06,Timeline MVP có dependency,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-01,Project chat realtime,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-02,Task from chat,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-03,Notification assign/mention/review,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-04,Customer portal filtered,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G4_COLLAB_CUSTOMER,G4_COLLAB_CUSTOMER-05,Wiki public/internal đúng quyền,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G5_AI_IMPORT,G5_AI_IMPORT-01,Qdrant sync data,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G5_AI_IMPORT,G5_AI_IMPORT-02,RAG trả lời có source,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G5_AI_IMPORT,G5_AI_IMPORT-03,AI không leak private,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G5_AI_IMPORT,G5_AI_IMPORT-04,Ollama/Mock fallback,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G5_AI_IMPORT,G5_AI_IMPORT-05,Import Markdown/CSV preview/commit,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G5_AI_IMPORT,G5_AI_IMPORT-06,Meeting summary/action item MVP,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G6_QA_DEFENSE,G6_QA_DEFENSE-01,Smoke test pass,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G6_QA_DEFENSE,G6_QA_DEFENSE-02,Critical/High bug = 0,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G6_QA_DEFENSE,G6_QA_DEFENSE-03,Test evidence có screenshot,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G6_QA_DEFENSE,G6_QA_DEFENSE-04,Backup/restore runbook,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
G6_QA_DEFENSE,G6_QA_DEFENSE-05,Slide/demo script/video backup sẵn sàng,Pending-Code-Evidence,Require repo run/test screenshot/log/demo evidence,
