case_id,ai_function,language,input_fixture,expected_schema,must_include,must_not_include,min_confidence,evaluation_method,status
GOLD-041,acceptance_checklist,vi,fixtures/acceptance_checklist_041.json,acceptance_checklist.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-042,progress_summary,vi,fixtures/progress_summary_042.json,progress_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-043,meeting_action_extract,vi,fixtures/meeting_action_extract_043.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-044,chat_summary,vi,fixtures/chat_summary_044.json,chat_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-045,task_draft,vi,fixtures/task_draft_045.json,task_draft.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-046,assignee_recommendation,vi,fixtures/assignee_recommendation_046.json,assignee_recommendation.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-047,task_breakdown,vi,fixtures/task_breakdown_047.json,task_breakdown.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-048,acceptance_checklist,vi,fixtures/acceptance_checklist_048.json,acceptance_checklist.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-049,progress_summary,vi,fixtures/progress_summary_049.json,progress_summary.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
GOLD-050,meeting_action_extract,vi,fixtures/meeting_action_extract_050.json,meeting_action_extract.v3.2,task/action/summary evidence depending function,invented assignee/deadline without source; raw secret/API key,0.60,schema validation + human spot check,Template
