"GateId","RequirementId","Gate","TestLevel","Evidence","Owner","Status","Blocking","Notes"
"G-UC-13","QLY-FR-AI-004","Selected chat messages create editable persisted task draft with audit","Integration+E2E","src/Qaly.Web/ClientApp/components/chat/GroupAiPanel.vue:278","AI Workflow Owner","Partial","Yes","Current group action extraction is not the complete selected-message draft flow"
"G-UC-14","QLY-FR-AI-005","Rank authorized candidates with reasons and require human assignment confirmation","Unit+E2E","src/Qaly.Application/Services/AiService.cs:176","AI Assignment Owner","Verified","Yes","Advanced skills and availability are P1 rather than baseline blockers"
"G-UC-15","QLY-FR-AI-006;QLY-FR-AI-007","Generate editable subtask and acceptance-checklist drafts and confirm selected items","Integration+E2E","src/Qaly.Web/Controllers/AiController.cs:228;src/Qaly.Infrastructure/Services/AI/AiJobProcessor.cs:154","AI Task Owner","Partial","Yes","Canonical wrappers and generic review lifecycle exist; locked schemas and selective capability confirmation remain incomplete"
"G-UC-16","QLY-FR-AI-008","Project and sprint summaries reconcile SQL metrics narrative and sources","Unit+Integration","tests/Qaly.UnitTests/DashboardSummaryServiceTests.cs:41;src/Qaly.Application/Services/AiService.cs:78;src/Qaly.Web/Controllers/AiController.cs:256","Analytics Owner","Partial","Yes","Project and sprint wrappers exist; reconciled metric grounding and source evidence remain incomplete"
"G-UC-17","QLY-FR-AI-PLAT-002","Daily and monthly usage budget warning hard stop audit and UI","Integration+E2E","src/Qaly.Infrastructure/Services/AI/AiCostService.cs:23;src/Qaly.Application/Services/AiPlatformQueryService.cs:1","AI Platform Owner","Missing","Yes","Canonical usage and budget reads exist; full aggregation warning policy audit and product surface remain P0-04"
"G-UC-18","QLY-FR-AI-PLAT-003","Offline provider fallback cache policy errors and labels behave distinctly","Unit+Integration","src/Qaly.Infrastructure/Services/AI/AiGateway.cs:124;tests/Qaly.UnitTests/AiGatewayRouterTests.cs:1;QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md","AI Platform Owner","Verified","Yes","Provider fallback and explicitly labeled degraded mock remain distinct; policy blocks are covered by G-PLAT-02"
"G-UC-19","QLY-FR-PRIV-001","Consent revoke export delete retention legal-hold isolation and audit","Integration+E2E","QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md;tests/Qaly.IntegrationTests/PrivacyApiTests.cs:15;tests/e2e/privacy-retention.spec.ts:168","Privacy Owner","Implemented-Unverified","Yes","Local API worker migration and E2E gates pass; hosted CI staging legal policy and production backup expiry remain pending"
"G-UC-20","QLY-FR-OPS-001","Checksum backup clean restore migration smoke RPO and RTO evidence","Recovery Drill","scripts/backup-sqlserver.ps1:1","DevOps Owner","Partial","Yes","Restore workflow and evidence are missing"
"G-AI-01","QLY-FR-MEET-001","AI-01 validated manual Meetily import","Unit+Integration","tests/Qaly.UnitTests/MeetilyImportTests.cs:1;tests/Qaly.UnitTests/MeetingPrivacyEnforcementTests.cs:17;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","Meeting Owner","Implemented-Unverified","Yes","Local consent sensitivity retention and payload gates pass; hosted rollout evidence remains pending"
"G-AI-02","QLY-FR-AI-002","AI-02 meeting extraction schema and review draft","Unit+Integration","src/Qaly.Application/Services/MeetingImportService.cs:934;src/Qaly.Web/Controllers/AiController.cs:179;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","AI Meeting Owner","Verified","Yes","Canonical wrapper and local privacy policy evidence pass; retain compatibility regression during rollout"
"G-AI-03","QLY-FR-AI-003","AI-03 chat range summary with cache and sources","Integration","src/Qaly.Web/Controllers/GroupAiController.cs:56","AI Collaboration Owner","Partial","Yes","Range identity and source URLs incomplete"
"G-AI-04","QLY-FR-AI-004","AI-04 task draft from meeting chat and manual source","Integration+E2E","src/Qaly.Application/Services/AiWorkflowService.cs:77","AI Workflow Owner","Partial","Yes","Meeting path stronger than chat and manual paths"
"G-AI-05","QLY-FR-AI-005","AI-05 assignee ranking explanation and human confirmation","Unit+E2E","src/Qaly.Application/Services/AiService.cs:176","AI Assignment Owner","Verified","Yes","No autonomous assignment"
"G-AI-06","QLY-FR-AI-006","AI-06 persisted editable task breakdown draft","Integration","src/Qaly.Web/Controllers/AiController.cs:228;src/Qaly.Infrastructure/Services/AI/AiJobProcessor.cs:154","AI Task Owner","Partial","Yes","Canonical wrapper and generic draft lifecycle exist; locked schema and selective subtask confirmation evidence are incomplete"
"G-AI-07","QLY-FR-AI-007","AI-07 acceptance checklist generation review and confirm","Integration+E2E","QALY_Docs_v3.2_Gap_Closure_Proceed_Ready/QALY_Docs_v2.3_Fixed_QA/QALY_MVP_P0_Scope_Lock_v3.2.md:42;src/Qaly.Web/Controllers/AiController.cs:242","AI Task Owner","Missing","Yes","Transport wrapper exists but no dedicated capability implementation or evidence"
"G-AI-08","QLY-FR-AI-008","AI-08 grounded project and sprint progress report","Unit+Integration","tests/Qaly.UnitTests/DashboardSummaryServiceTests.cs:41;src/Qaly.Web/Controllers/AiController.cs:256","Analytics Owner","Partial","Yes","Canonical routes exist; unify and reconcile metrics narrative and sources"
"G-PLAT-01","QLY-FR-AI-PLAT-001","Canonical queued running result retry cancel worker and idempotency lifecycle","Unit+Integration+Worker+E2E","QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md;tests/Qaly.IntegrationTests/AiJobDispatchStoreSqlServerTests.cs:1;tests/Qaly.IntegrationTests/AiJobApiTests.cs:1;tests/e2e/ai-activity.spec.ts:1","AI Platform Owner","Implemented-Unverified","Yes","Local lifecycle migration real-SQL worker API and E2E gates pass; hosted CI and staged migration reconciliation remain pending"
"G-PLAT-02","QLY-FR-AI-PLAT-003","Compliance and budget blocks return explicit error rather than mock success","Unit+Integration","QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md;tests/Qaly.UnitTests/AiGatewayEvidenceTests.cs:33;tests/Qaly.UnitTests/AiGatewayRouterTests.cs:181","AI Platform Owner","Implemented-Unverified","Yes","Local negative tests prove structured policy errors and labeled provider degradation; hosted CI and target policy verification remain pending"
"G-PRIV-01","QLY-FR-PRIV-001","Purpose-bound consent retention policy sensitive default and provider eligibility gate every meeting path","Unit+Integration+E2E","QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md;tests/Qaly.UnitTests/PrivacyComplianceTests.cs:11;tests/Qaly.UnitTests/MeetingPrivacyEnforcementTests.cs:17;tests/e2e/privacy-retention.spec.ts:234","Privacy Owner","Implemented-Unverified","Yes","Local policy cloud intersection meeting gate and audit evidence pass; hosted target policy and live provider evidence remain pending"
"G-PRIV-02","QLY-FR-PRIV-001","Retention and DSAR work is leased retryable encrypted legal-hold aware reconciled and observable","Unit+Integration+Migration","QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md;tests/Qaly.IntegrationTests/PrivacyMigrationSqlServerTests.cs:11;tests/Qaly.IntegrationTests/PrivacyWorkStoreSqlServerTests.cs:12","Privacy+Data Owner","Implemented-Unverified","Yes","Local real-SQL migration and worker gates pass; hosted continuous worker backup expiry and staged reconciliation remain pending"
"G-NFR-01","QLY-NFR-SEC-001","Frontend typecheck and required CI checks pass","CI","QALY_Docs_v4.0_Draft/13_P0-01_CI_Security_Evidence.md;src/Qaly.Web/ClientApp/App.vue;.github/workflows/ci.yml:42","Frontend Owner","Implemented-Unverified","Yes","Local typecheck builds regression and route smoke pass; hosted GitHub required check has not run"
"G-NFR-02","QLY-NFR-SEC-001","No Critical or unapproved High dependency vulnerability","CI+Security Review","QALY_Docs_v4.0_Draft/13_P0-01_CI_Security_Evidence.md;src/Qaly.Web/Qaly.Web.csproj;package-lock.json","Security Owner","Verified","Yes","NuGet and npm production and full scans report no known vulnerability; no exception is open"
"G-NFR-03","QLY-NFR-DATA-001","EF model has no unresolved required-navigation soft-delete warning","Unit+Startup","src/Qaly.Infrastructure/Data/QalyDbContext.cs:146;tests/Qaly.UnitTests/SoftDeleteQueryFilterTests.cs:1","Data Owner","Partial","Yes","Warnings were observed during local startup"
"G-NFR-04","QLY-NFR-REL-001","Redis unavailable is fail-fast and health reports degraded","Resilience+Load","src/Qaly.Infrastructure/Auth/RedisTicketStore.cs:60","Identity+DevOps","Partial","Yes","Functional fallback incurred approximately ten-second request latency"
"G-NFR-05","QLY-NFR-UX-001","Canonical entity links previews source refs back behavior and truthful errors","E2E+Accessibility","src/Qaly.Web/ClientApp/App.vue:786;src/Qaly.Web/ClientApp/components/analytics-ai/SourceRefsDrawer.vue:43;src/Qaly.Web/ClientApp/pages/SettingsPage.vue:209","Frontend Owner","Partial","Yes","Task URL source links and save feedback are inconsistent"
"G-NFR-06","QLY-NFR-OPS-001","Protected main required reviews CODEOWNERS release tag and immutable image digest","GitHub+Release Audit",".github/workflows/ci.yml:4;.github/workflows/cd.yml:10","DevOps+Engineering Lead","Partial","Yes","CI and image publish exist; CODEOWNERS tags and branch protection evidence are absent"
"G-NFR-07","QLY-NFR-REC-001","Application and database rollback compatibility is exercised","Recovery Drill","scripts/backup-sqlserver.ps1:1","DevOps+Data Owner","Missing","Yes","No clean restore and rollback evidence"
"G-NFR-08","QLY-NFR-MAINT-001","Module ownership and decomposition preserve behavior","Architecture+Regression","src/Qaly.Application/Services/GroupsService.cs:1;src/Qaly.Web/ClientApp/pages/TasksPage.vue:1","Engineering Lead","Partial","No","Oversized modules increase risk but are sequenced after blocking P0 closure"
"G-NFR-09","QLY-NFR-PRIV-001","Production topology provider and privacy controls are verified in target environment","Staging Evidence","QALY_Docs_v4.0_Draft/09_NFR_Operations_Security_and_Recovery.md:1","Privacy+DevOps","Spec-only","Yes","Local source cannot prove target infrastructure or live provider behavior"
