"TraceId","SourceScope","SourceRequirement","V4Requirement","Capability","ImplementationStatus","Evidence","Gap","Priority","TargetTest"
"P0-UC-17","v3.2","AI usage and cost view","QLY-FR-AI-PLAT-002","Usage and budget control","Missing","src/Qaly.Infrastructure/Services/AI/AiCostService.cs:23;src/Qaly.Application/Services/AiPlatformQueryService.cs:1;QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md","Canonical usage and budget reads exist; complete daily and monthly aggregation warning policy ownership audit and product UI remain P0-04","P0","Integration+E2E: daily/monthly/warn/hard-stop/audit/role"
"P0-UC-18","v3.2","AI fallback and mock","QLY-FR-AI-PLAT-003","Provider fallback and degraded mode","Verified","src/Qaly.Infrastructure/Services/AI/AiGateway.cs:124;tests/Qaly.UnitTests/AiGatewayEvidenceTests.cs:33;tests/Qaly.UnitTests/AiGatewayRouterTests.cs:181;QALY_Docs_v4.0_Draft/14_P0-02_Canonical_AI_Job_Evidence.md","Canonical policy and budget blocks are explicit errors; hosted CI and target policy verification remain pending under G-PLAT-02","P0","Unit+integration: offline/cache/provider-fail/policy-error/budget-error/label"
"P0-UC-19","v3.2","Privacy consent delete and export","QLY-FR-PRIV-001","Consent and data-subject requests","Implemented-Unverified","src/Qaly.Web/Controllers/PrivacyController.cs:11;src/Qaly.Infrastructure/Services/Privacy/PrivacyWorkProcessor.cs:17;tests/Qaly.IntegrationTests/PrivacyApiTests.cs:15;tests/e2e/privacy-retention.spec.ts:168;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","Local grant revoke export delete retention legal hold audit and worker evidence pass; hosted CI staged reconciliation legal-policy approval and production backup expiry remain pending","P0","Integration+E2E: grant/revoke/export/delete/legal-hold/isolation/audit"
"P0-UC-20","v3.2 Operations","Backup and restore demo","QLY-FR-OPS-001","Backup restore and release recovery","Partial","scripts/backup-sqlserver.ps1:1;docs/12_Release_Readiness.md:49","Backup script exists; restore runbook executable evidence and release rollback are missing","P0","Recovery: backup/checksum/clean restore/migrate/smoke/RPO/RTO"
"AI-01","v3.2 AI lock","Meetily import and manual sync","QLY-FR-MEET-001","Validated meeting import","Implemented-Unverified","src/Qaly.Application/Services/MeetingImportService.cs:79;tests/Qaly.UnitTests/MeetingPrivacyEnforcementTests.cs:17;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","Local import dedupe consent sensitivity and retention contract pass; hosted CI staged policy and live provider evidence remain pending","P0","Unit+integration: import/dedupe/consent/retention"
"AI-02","v3.2 AI lock","Meeting extraction","QLY-FR-AI-002","Meeting decisions and actions","Verified","src/Qaly.Application/Services/MeetingImportService.cs:934;tests/Qaly.UnitTests/MeetilyImportTests.cs:1;src/Qaly.Web/Controllers/AiController.cs:179;QALY_Docs_v4.0_Draft/15_P0-03_Privacy_Retention_DSAR_Evidence.md","Canonical wrapper and consent-retention evidence pass locally; Meetily compatibility transport remains for the rollout window","P0","Integration: queue/schema/draft/source/failure"
"AI-03","v3.2 AI lock","Chat thread summary","QLY-FR-AI-003","Chat range summary","Partial","src/Qaly.Web/Controllers/GroupAiController.cs:56;src/Qaly.Application/Services/GroupAiService.cs:1","Range identity cache invalidation and source links incomplete","P0","Integration: range/cache/source/permission"
"AI-04","v3.2 AI lock","Task draft from source","QLY-FR-AI-004","Editable source-linked task draft","Partial","src/Qaly.Application/Services/AiWorkflowService.cs:93;src/Qaly.Web/Controllers/AiController.cs:204;src/Qaly.Web/ClientApp/components/chat/GroupAiPanel.vue:278","Canonical manual source and draft lifecycle exist; selected chat range and capability-specific all-source evidence remain incomplete","P0","Integration+E2E: all source types/edit/reject/confirm"
"AI-05","v3.2 AI lock","Recommend assignee","QLY-FR-AI-005","Explainable candidate ranking","Verified","src/Qaly.Application/Services/AiService.cs:176;src/Qaly.Domain/Entities/ProjectMember.cs:3","Advanced capability and availability inputs deferred to P1","P0","Unit+E2E: rank/reason/isolation/human confirm"
"AI-06","v3.2 AI lock","Task breakdown","QLY-FR-AI-006","Editable subtask draft","Partial","src/Qaly.Web/Controllers/AiController.cs:228;src/Qaly.Infrastructure/Services/AI/AiJobProcessor.cs:154;src/Qaly.Application/Services/AiService.cs:342","Canonical wrapper and generic persisted draft review exist; locked breakdown schema and selective subtask confirmation evidence remain incomplete","P0","Integration: schema/draft/edit/selective confirm"
"AI-07","v3.2 AI lock","Acceptance checklist","QLY-FR-AI-007","Editable acceptance checklist draft","Missing","QALY_Docs_v3.2_Gap_Closure_Proceed_Ready/QALY_Docs_v2.3_Fixed_QA/QALY_MVP_P0_Scope_Lock_v3.2.md:42;src/Qaly.Web/Controllers/AiController.cs:242","Canonical transport wrapper exists but no dedicated capability generation schema selective confirmation or end-to-end evidence","P0","Integration+E2E: generate/edit/reject/confirm/audit"
"AI-08","v3.2 AI lock","Sprint or project summary","QLY-FR-AI-008","Grounded progress report","Partial","src/Qaly.Application/Services/AiService.cs:78;tests/Qaly.UnitTests/DashboardSummaryServiceTests.cs:41;src/Qaly.Web/Controllers/AiController.cs:256","Canonical project and sprint wrappers exist; metric grounding and capability-specific reconciliation evidence remain incomplete","P0","Unit+integration: metrics/narrative/source/project+sprint"
