domain,table,priority,purpose,read_write,partition,soft_delete
D04_PROJECT,project_template_tasks,P0,"Lưu dữ liệu nghiệp vụ cho project template tasks; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_status_reports,P1,"Lưu dữ liệu nghiệp vụ cho project status reports; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,tasks,P0,"Lưu thực thể công việc trung tâm: mô tả, trạng thái, priority, visibility, deadline, progress weight và liên kết project/sprint/parent task.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_assignments,P0,"Lưu dữ liệu nghiệp vụ cho task assignments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_labels,P1,"Lưu dữ liệu nghiệp vụ cho task labels; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_checklists,P1,"Lưu dữ liệu nghiệp vụ cho task checklists; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_checklist_items,P1,"Lưu dữ liệu nghiệp vụ cho task checklist items; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_time_logs,P1,"Lưu dữ liệu nghiệp vụ cho task time logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_comments_count_cache,P1,"Lưu dữ liệu nghiệp vụ cho task comments count cache; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_subtasks,P0,"Lưu dữ liệu nghiệp vụ cho task subtasks; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,workflow_definitions,P1,"Lưu dữ liệu nghiệp vụ cho workflow definitions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,workflow_states,P1,"Lưu dữ liệu nghiệp vụ cho workflow states; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,workflow_transitions,P1,"Lưu dữ liệu nghiệp vụ cho workflow transitions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,workflow_transition_conditions,P1,"Lưu dữ liệu nghiệp vụ cho workflow transition conditions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,workflow_transition_actions,P1,"Lưu dữ liệu nghiệp vụ cho workflow transition actions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_workflow_states,P1,"Lưu dữ liệu nghiệp vụ cho task workflow states; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_status_change_requests,P0,"Lưu yêu cầu chuyển trạng thái của assignee, đặc biệt khi cần PM/reviewer duyệt.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_status_change_approvals,P1,"Lưu dữ liệu nghiệp vụ cho task status change approvals; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_review_cycles,P1,"Lưu dữ liệu nghiệp vụ cho task review cycles; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_review_feedbacks,P1,"Lưu dữ liệu nghiệp vụ cho task review feedbacks; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_evidences,P0,"Lưu bằng chứng hoàn thành task: link PR, file, ảnh, URL deploy, mô tả kết quả.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_evidence_reviews,P1,"Lưu dữ liệu nghiệp vụ cho task evidence reviews; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_evidence_review_comments,P1,"Lưu dữ liệu nghiệp vụ cho task evidence review comments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,evidence_approval_audit_logs,P0,"Lưu dữ liệu nghiệp vụ cho evidence approval audit logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Không — log/audit immutable, chỉ archive theo retention policy."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_dependencies,P0,"Lưu dữ liệu nghiệp vụ cho task dependencies; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_columns,P0,"Lưu dữ liệu nghiệp vụ cho kanban columns; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprints,P0,"Lưu dữ liệu nghiệp vụ cho sprints; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprint_tasks,P0,"Lưu dữ liệu nghiệp vụ cho sprint tasks; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprint_review_notes,P1,"Lưu dữ liệu nghiệp vụ cho sprint review notes; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,comments,P1,"Lưu dữ liệu nghiệp vụ cho comments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_rooms,P0,"Lưu dữ liệu nghiệp vụ cho chat rooms; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_messages,P0,"Lưu nội dung tin nhắn Mini Zalo, dùng làm nguồn tạo task/action item nếu được xác nhận.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meetings,P1,"Lưu dữ liệu nghiệp vụ cho meetings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_participants,P1,"Lưu dữ liệu nghiệp vụ cho meeting participants; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_agendas,P1,"Lưu dữ liệu nghiệp vụ cho meeting agendas; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_agenda_items,P1,"Lưu dữ liệu nghiệp vụ cho meeting agenda items; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_notes,P1,"Lưu dữ liệu nghiệp vụ cho meeting notes; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_note_sections,P1,"Lưu dữ liệu nghiệp vụ cho meeting note sections; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_action_items,P1,"Lưu dữ liệu nghiệp vụ cho meeting action items; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_recordings,P1,"Lưu dữ liệu nghiệp vụ cho meeting recordings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_ai_summaries,P1,"Lưu dữ liệu nghiệp vụ cho meeting ai summaries; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,meeting_transcripts,P1,"Lưu dữ liệu nghiệp vụ cho meeting transcripts; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_pages,P0,Lưu metadata trang wiki; nội dung dài và version được tách riêng để dễ audit và rollback.,Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,wiki_page_comments,P1,"Lưu dữ liệu nghiệp vụ cho wiki page comments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D09_MEETING_WIKI_FILE,files,P0,"Lưu dữ liệu nghiệp vụ cho files; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,notifications,P0,"Lưu dữ liệu nghiệp vụ cho notifications; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,webhooks,P1,"Lưu dữ liệu nghiệp vụ cho webhooks; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,webhook_events,P1,"Lưu dữ liệu nghiệp vụ cho webhook events; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,webhook_deliveries,P1,"Lưu dữ liệu nghiệp vụ cho webhook deliveries; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Không — log/audit immutable, chỉ archive theo retention policy."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,webhook_delivery_retries,P1,"Lưu dữ liệu nghiệp vụ cho webhook delivery retries; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,webhook_secrets,P1,"Lưu dữ liệu nghiệp vụ cho webhook secrets; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,webhook_ip_whitelist,P1,"Lưu dữ liệu nghiệp vụ cho webhook ip whitelist; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,integrations,P1,"Lưu dữ liệu nghiệp vụ cho integrations; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,integration_configs,P1,"Lưu dữ liệu nghiệp vụ cho integration configs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,integration_sync_logs,P1,"Lưu dữ liệu nghiệp vụ cho integration sync logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D10_NOTIFICATION_WEBHOOK_INTEGRATION,integration_field_mappings,P1,"Lưu dữ liệu nghiệp vụ cho integration field mappings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,ai_knowledge_documents,P1,"Lưu dữ liệu nghiệp vụ cho ai knowledge documents; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,ai_knowledge_chunks,P1,Lưu chunk tri thức được index vào Qdrant phục vụ RAG sau khi đã gắn quyền truy cập.,Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,ai_knowledge_embeddings,P1,"Lưu dữ liệu nghiệp vụ cho ai knowledge embeddings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,ai_knowledge_sync_jobs,P1,"Lưu dữ liệu nghiệp vụ cho ai knowledge sync jobs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,ai_knowledge_permissions,P1,"Lưu dữ liệu nghiệp vụ cho ai knowledge permissions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,document_import_jobs,P1,Theo dõi pipeline import tài liệu PDF/DOCX/Markdown/CSV sang Wiki/Task backlog.,Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,document_import_sources,P1,"Lưu dữ liệu nghiệp vụ cho document import sources; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,document_draft_tasks,P0,"Lưu dữ liệu nghiệp vụ cho document draft tasks; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,document_draft_task_reviews,P1,"Lưu dữ liệu nghiệp vụ cho document draft task reviews; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D11_AI_IMPORT,document_import_audit_logs,P0,"Lưu dữ liệu nghiệp vụ cho document import audit logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Không — log/audit immutable, chỉ archive theo retention policy."
D11_AI_IMPORT,document_draft_wiki_pages,P0,"Lưu dữ liệu nghiệp vụ cho document draft wiki pages; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D12_AUDIT_ANALYTICS_REPORTING,audit_logs,P0,"Lưu dữ liệu nghiệp vụ cho audit logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Không — log/audit immutable, chỉ archive theo retention policy."
D12_AUDIT_ANALYTICS_REPORTING,compliance_reports,P1,"Lưu dữ liệu nghiệp vụ cho compliance reports; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D12_AUDIT_ANALYTICS_REPORTING,project_analytics_snapshots,P1,"Lưu dữ liệu nghiệp vụ cho project analytics snapshots; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D12_AUDIT_ANALYTICS_REPORTING,task_analytics_snapshots,P1,"Lưu dữ liệu nghiệp vụ cho task analytics snapshots; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D12_AUDIT_ANALYTICS_REPORTING,sprint_analytics,P1,"Lưu dữ liệu nghiệp vụ cho sprint analytics; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
