TestCaseID,Module,Test Description,Expected Result,Status
TC_040,Core Web Feature,Verify feature functionality 40,System responds correctly,New
TC_041,Core Web Feature,Verify feature functionality 41,System responds correctly,New
TC_042,Core Web Feature,Verify feature functionality 42,System responds correctly,New
TC_043,Core Web Feature,Verify feature functionality 43,System responds correctly,New
TC_044,Core Web Feature,Verify feature functionality 44,System responds correctly,New
TC_045,Core Web Feature,Verify feature functionality 45,System responds correctly,New
TC_046,Core Web Feature,Verify feature functionality 46,System responds correctly,New
TC_047,Core Web Feature,Verify feature functionality 47,System responds correctly,New
TC_048,Core Web Feature,Verify feature functionality 48,System responds correctly,New
TC_049,Core Web Feature,Verify feature functionality 49,System responds correctly,New
TC_050,Core Web Feature,Verify feature functionality 50,System responds correctly,New
TC_051,Core Web Feature,Verify feature functionality 51,System responds correctly,New
TC_052,Core Web Feature,Verify feature functionality 52,System responds correctly,New
TC_053,Core Web Feature,Verify feature functionality 53,System responds correctly,New
TC_054,Core Web Feature,Verify feature functionality 54,System responds correctly,New
TC_055,Core Web Feature,Verify feature functionality 55,System responds correctly,New
TC_056,Core Web Feature,Verify feature functionality 56,System responds correctly,New
TC_057,Core Web Feature,Verify feature functionality 57,System responds correctly,New
TC_058,Core Web Feature,Verify feature functionality 58,System responds correctly,New
TC_059,Core Web Feature,Verify feature functionality 59,System responds correctly,New
TC_060,Core Web Feature,Verify feature functionality 60,System responds correctly,New
TC_061,Core Web Feature,Verify feature functionality 61,System responds correctly,New
TC_062,Core Web Feature,Verify feature functionality 62,System responds correctly,New
TC_063,Core Web Feature,Verify feature functionality 63,System responds correctly,New
TC_064,Core Web Feature,Verify feature functionality 64,System responds correctly,New
TC_065,Core Web Feature,Verify feature functionality 65,System responds correctly,New
TC_066,Core Web Feature,Verify feature functionality 66,System responds correctly,New
TC_067,Core Web Feature,Verify feature functionality 67,System responds correctly,New
TC_068,Core Web Feature,Verify feature functionality 68,System responds correctly,New
TC_069,Core Web Feature,Verify feature functionality 69,System responds correctly,New
TC_070,Core Web Feature,Verify feature functionality 70,System responds correctly,New
TC_071,Core Web Feature,Verify feature functionality 71,System responds correctly,New
TC_072,Core Web Feature,Verify feature functionality 72,System responds correctly,New
TC_073,Core Web Feature,Verify feature functionality 73,System responds correctly,New
TC_074,Core Web Feature,Verify feature functionality 74,System responds correctly,New
TC_075,Core Web Feature,Verify feature functionality 75,System responds correctly,New
TC_076,Core Web Feature,Verify feature functionality 76,System responds correctly,New
TC_077,Core Web Feature,Verify feature functionality 77,System responds correctly,New
TC_078,Core Web Feature,Verify feature functionality 78,System responds correctly,New
TC_079,Core Web Feature,Verify feature functionality 79,System responds correctly,New
TC_080,Core Web Feature,Verify feature functionality 80,System responds correctly,New
TC_081,Core Web Feature,Verify feature functionality 81,System responds correctly,New
TC_082,Core Web Feature,Verify feature functionality 82,System responds correctly,New
TC_083,Core Web Feature,Verify feature functionality 83,System responds correctly,New
TC_084,Core Web Feature,Verify feature functionality 84,System responds correctly,New
TC_085,Core Web Feature,Verify feature functionality 85,System responds correctly,New
TC_086,Core Web Feature,Verify feature functionality 86,System responds correctly,New
TC_087,Core Web Feature,Verify feature functionality 87,System responds correctly,New
TC_088,Core Web Feature,Verify feature functionality 88,System responds correctly,New
TC_089,Core Web Feature,Verify feature functionality 89,System responds correctly,New
TC_090,Core Web Feature,Verify feature functionality 90,System responds correctly,New
TC_091,Core Web Feature,Verify feature functionality 91,System responds correctly,New
TC_092,Core Web Feature,Verify feature functionality 92,System responds correctly,New
TC_093,Core Web Feature,Verify feature functionality 93,System responds correctly,New
TC_094,Core Web Feature,Verify feature functionality 94,System responds correctly,New
TC_095,Core Web Feature,Verify feature functionality 95,System responds correctly,New
TC_096,Core Web Feature,Verify feature functionality 96,System responds correctly,New
TC_097,Core Web Feature,Verify feature functionality 97,System responds correctly,New
TC_098,Core Web Feature,Verify feature functionality 98,System responds correctly,New
TC_099,Core Web Feature,Verify feature functionality 99,System responds correctly,New
TC_100,Core Web Feature,Verify feature functionality 100,System responds correctly,New
TC_101,Core Web Feature,Verify feature functionality 101,System responds correctly,New
TC_102,Core Web Feature,Verify feature functionality 102,System responds correctly,New
TC_103,Core Web Feature,Verify feature functionality 103,System responds correctly,New
TC_104,Core Web Feature,Verify feature functionality 104,System responds correctly,New
TC_105,Core Web Feature,Verify feature functionality 105,System responds correctly,New
TC_106,Core Web Feature,Verify feature functionality 106,System responds correctly,New
TC_107,Core Web Feature,Verify feature functionality 107,System responds correctly,New
TC_108,Core Web Feature,Verify feature functionality 108,System responds correctly,New
TC_109,Core Web Feature,Verify feature functionality 109,System responds correctly,New
TC_110,Core Web Feature,Verify feature functionality 110,System responds correctly,New
TC_111,Core Web Feature,Verify feature functionality 111,System responds correctly,New
TC_112,Core Web Feature,Verify feature functionality 112,System responds correctly,New
TC_113,Core Web Feature,Verify feature functionality 113,System responds correctly,New
TC_114,Core Web Feature,Verify feature functionality 114,System responds correctly,New
TC_115,Core Web Feature,Verify feature functionality 115,System responds correctly,New
TC_116,Core Web Feature,Verify feature functionality 116,System responds correctly,New
TC_117,Core Web Feature,Verify feature functionality 117,System responds correctly,New
TC_118,Core Web Feature,Verify feature functionality 118,System responds correctly,New
TC_119,Core Web Feature,Verify feature functionality 119,System responds correctly,New
TC_120,Core Web Feature,Verify feature functionality 120,System responds correctly,New
TC_121,Core Web Feature,Verify feature functionality 121,System responds correctly,New
TC_122,Core Web Feature,Verify feature functionality 122,System responds correctly,New
TC_123,Core Web Feature,Verify feature functionality 123,System responds correctly,New
TC_124,Core Web Feature,Verify feature functionality 124,System responds correctly,New
TC_125,Core Web Feature,Verify feature functionality 125,System responds correctly,New
TC_126,Core Web Feature,Verify feature functionality 126,System responds correctly,New
TC_127,Core Web Feature,Verify feature functionality 127,System responds correctly,New
TC_128,Core Web Feature,Verify feature functionality 128,System responds correctly,New
TC_129,Core Web Feature,Verify feature functionality 129,System responds correctly,New
TC_130,Core Web Feature,Verify feature functionality 130,System responds correctly,New
TC_131,Core Web Feature,Verify feature functionality 131,System responds correctly,New
TC_132,Core Web Feature,Verify feature functionality 132,System responds correctly,New
TC_133,Core Web Feature,Verify feature functionality 133,System responds correctly,New
TC_134,Core Web Feature,Verify feature functionality 134,System responds correctly,New
TC_135,Core Web Feature,Verify feature functionality 135,System responds correctly,New
TC_136,Core Web Feature,Verify feature functionality 136,System responds correctly,New
TC_137,Core Web Feature,Verify feature functionality 137,System responds correctly,New
TC_138,Core Web Feature,Verify feature functionality 138,System responds correctly,New
TC_139,Core Web Feature,Verify feature functionality 139,System responds correctly,New
TC_140,Core Web Feature,Verify feature functionality 140,System responds correctly,New
TC_141,Core Web Feature,Verify feature functionality 141,System responds correctly,New
TC_142,Core Web Feature,Verify feature functionality 142,System responds correctly,New
TC_143,Core Web Feature,Verify feature functionality 143,System responds correctly,New
TC_144,Core Web Feature,Verify feature functionality 144,System responds correctly,New
TC_145,Core Web Feature,Verify feature functionality 145,System responds correctly,New
TC_146,Core Web Feature,Verify feature functionality 146,System responds correctly,New
TC_147,Core Web Feature,Verify feature functionality 147,System responds correctly,New
TC_148,Core Web Feature,Verify feature functionality 148,System responds correctly,New
TC_149,Core Web Feature,Verify feature functionality 149,System responds correctly,New
TC_150,Core Web Feature,Verify feature functionality 150,System responds correctly,New
TC_151,Core Web Feature,Verify feature functionality 151,System responds correctly,New
TC_152,Core Web Feature,Verify feature functionality 152,System responds correctly,New
TC_153,Core Web Feature,Verify feature functionality 153,System responds correctly,New
TC_154,Core Web Feature,Verify feature functionality 154,System responds correctly,New
TC_155,Core Web Feature,Verify feature functionality 155,System responds correctly,New
TC_156,Core Web Feature,Verify feature functionality 156,System responds correctly,New
TC_157,Core Web Feature,Verify feature functionality 157,System responds correctly,New
TC_158,Core Web Feature,Verify feature functionality 158,System responds correctly,New
TC_159,Core Web Feature,Verify feature functionality 159,System responds correctly,New
TC_160,Core Web Feature,Verify feature functionality 160,System responds correctly,New
TC_161,Core Web Feature,Verify feature functionality 161,System responds correctly,New
TC_162,Core Web Feature,Verify feature functionality 162,System responds correctly,New
TC_163,Core Web Feature,Verify feature functionality 163,System responds correctly,New
TC_164,Core Web Feature,Verify feature functionality 164,System responds correctly,New
TC_165,Core Web Feature,Verify feature functionality 165,System responds correctly,New
TC_166,Core Web Feature,Verify feature functionality 166,System responds correctly,New
TC_167,Core Web Feature,Verify feature functionality 167,System responds correctly,New
TC_168,Core Web Feature,Verify feature functionality 168,System responds correctly,New
TC_169,Core Web Feature,Verify feature functionality 169,System responds correctly,New
TC_170,Core Web Feature,Verify feature functionality 170,System responds correctly,New
TC_171,Core Web Feature,Verify feature functionality 171,System responds correctly,New
TC_172,Core Web Feature,Verify feature functionality 172,System responds correctly,New
TC_173,Core Web Feature,Verify feature functionality 173,System responds correctly,New
TC_174,Core Web Feature,Verify feature functionality 174,System responds correctly,New
TC_175,Core Web Feature,Verify feature functionality 175,System responds correctly,New
TC_176,Core Web Feature,Verify feature functionality 176,System responds correctly,New
TC_177,Core Web Feature,Verify feature functionality 177,System responds correctly,New
TC_178,Core Web Feature,Verify feature functionality 178,System responds correctly,New
TC_179,Core Web Feature,Verify feature functionality 179,System responds correctly,New
TC_180,Core Web Feature,Verify feature functionality 180,System responds correctly,New
TC_181,Core Web Feature,Verify feature functionality 181,System responds correctly,New
TC_182,Core Web Feature,Verify feature functionality 182,System responds correctly,New
TC_183,Core Web Feature,Verify feature functionality 183,System responds correctly,New
TC_184,Core Web Feature,Verify feature functionality 184,System responds correctly,New
TC_185,Core Web Feature,Verify feature functionality 185,System responds correctly,New
TC_186,Core Web Feature,Verify feature functionality 186,System responds correctly,New
TC_187,Core Web Feature,Verify feature functionality 187,System responds correctly,New
TC_188,Core Web Feature,Verify feature functionality 188,System responds correctly,New
TC_189,Core Web Feature,Verify feature functionality 189,System responds correctly,New
TC_190,Core Web Feature,Verify feature functionality 190,System responds correctly,New
TC_191,Core Web Feature,Verify feature functionality 191,System responds correctly,New
TC_192,Core Web Feature,Verify feature functionality 192,System responds correctly,New
TC_193,Core Web Feature,Verify feature functionality 193,System responds correctly,New
TC_194,Core Web Feature,Verify feature functionality 194,System responds correctly,New
TC_195,Core Web Feature,Verify feature functionality 195,System responds correctly,New
TC_196,Core Web Feature,Verify feature functionality 196,System responds correctly,New
TC_197,Core Web Feature,Verify feature functionality 197,System responds correctly,New
TC_198,Core Web Feature,Verify feature functionality 198,System responds correctly,New
TC_199,Core Web Feature,Verify feature functionality 199,System responds correctly,New
TC_200,Core Web Feature,Verify feature functionality 200,System responds correctly,New
TC_201,Core Web Feature,Verify feature functionality 201,System responds correctly,New
TC_202,Core Web Feature,Verify feature functionality 202,System responds correctly,New
TC_203,Core Web Feature,Verify feature functionality 203,System responds correctly,New
TC_204,Core Web Feature,Verify feature functionality 204,System responds correctly,New
TC_205,Core Web Feature,Verify feature functionality 205,System responds correctly,New
TC_206,Core Web Feature,Verify feature functionality 206,System responds correctly,New
TC_207,Core Web Feature,Verify feature functionality 207,System responds correctly,New
TC_208,Core Web Feature,Verify feature functionality 208,System responds correctly,New
TC_209,Core Web Feature,Verify feature functionality 209,System responds correctly,New
TC_210,Core Web Feature,Verify feature functionality 210,System responds correctly,New
TC_211,Core Web Feature,Verify feature functionality 211,System responds correctly,New
TC_212,Core Web Feature,Verify feature functionality 212,System responds correctly,New
TC_213,Core Web Feature,Verify feature functionality 213,System responds correctly,New
TC_214,Core Web Feature,Verify feature functionality 214,System responds correctly,New
TC_215,Core Web Feature,Verify feature functionality 215,System responds correctly,New
TC_216,Core Web Feature,Verify feature functionality 216,System responds correctly,New
TC_217,Core Web Feature,Verify feature functionality 217,System responds correctly,New
TC_218,Core Web Feature,Verify feature functionality 218,System responds correctly,New
TC_219,Core Web Feature,Verify feature functionality 219,System responds correctly,New
TC_220,Core Web Feature,Verify feature functionality 220,System responds correctly,New
TC_221,Core Web Feature,Verify feature functionality 221,System responds correctly,New
TC_222,Core Web Feature,Verify feature functionality 222,System responds correctly,New
TC_223,Core Web Feature,Verify feature functionality 223,System responds correctly,New
TC_224,Core Web Feature,Verify feature functionality 224,System responds correctly,New
TC_225,Core Web Feature,Verify feature functionality 225,System responds correctly,New
TC_226,Core Web Feature,Verify feature functionality 226,System responds correctly,New
TC_227,Core Web Feature,Verify feature functionality 227,System responds correctly,New
TC_228,Core Web Feature,Verify feature functionality 228,System responds correctly,New
TC_229,Core Web Feature,Verify feature functionality 229,System responds correctly,New
TC_230,Core Web Feature,Verify feature functionality 230,System responds correctly,New
TC_231,Core Web Feature,Verify feature functionality 231,System responds correctly,New
TC_232,Core Web Feature,Verify feature functionality 232,System responds correctly,New
TC_233,Core Web Feature,Verify feature functionality 233,System responds correctly,New
TC_234,Core Web Feature,Verify feature functionality 234,System responds correctly,New
TC_235,Core Web Feature,Verify feature functionality 235,System responds correctly,New
TC_236,Core Web Feature,Verify feature functionality 236,System responds correctly,New
TC_237,Core Web Feature,Verify feature functionality 237,System responds correctly,New
TC_238,Core Web Feature,Verify feature functionality 238,System responds correctly,New
TC_239,Core Web Feature,Verify feature functionality 239,System responds correctly,New
TC_240,Core Web Feature,Verify feature functionality 240,System responds correctly,New
TC_241,Core Web Feature,Verify feature functionality 241,System responds correctly,New
TC_242,Core Web Feature,Verify feature functionality 242,System responds correctly,New
TC_243,Core Web Feature,Verify feature functionality 243,System responds correctly,New
TC_244,Core Web Feature,Verify feature functionality 244,System responds correctly,New
TC_245,Core Web Feature,Verify feature functionality 245,System responds correctly,New
TC_246,Core Web Feature,Verify feature functionality 246,System responds correctly,New
TC_247,Core Web Feature,Verify feature functionality 247,System responds correctly,New
TC_248,Core Web Feature,Verify feature functionality 248,System responds correctly,New
TC_249,Core Web Feature,Verify feature functionality 249,System responds correctly,New
TC_250,Core Web Feature,Verify feature functionality 250,System responds correctly,New
TC_251,Core Web Feature,Verify feature functionality 251,System responds correctly,New
TC_252,Core Web Feature,Verify feature functionality 252,System responds correctly,New
TC_253,Core Web Feature,Verify feature functionality 253,System responds correctly,New
TC_254,Core Web Feature,Verify feature functionality 254,System responds correctly,New
TC_255,Core Web Feature,Verify feature functionality 255,System responds correctly,New
TC_256,Core Web Feature,Verify feature functionality 256,System responds correctly,New
TC_257,Core Web Feature,Verify feature functionality 257,System responds correctly,New
TC_258,Core Web Feature,Verify feature functionality 258,System responds correctly,New
TC_259,Core Web Feature,Verify feature functionality 259,System responds correctly,New
TC_260,Core Web Feature,Verify feature functionality 260,System responds correctly,New
TC_261,Core Web Feature,Verify feature functionality 261,System responds correctly,New
TC_262,Core Web Feature,Verify feature functionality 262,System responds correctly,New
TC_263,Core Web Feature,Verify feature functionality 263,System responds correctly,New
TC_264,Core Web Feature,Verify feature functionality 264,System responds correctly,New
TC_265,Core Web Feature,Verify feature functionality 265,System responds correctly,New
TC_266,Core Web Feature,Verify feature functionality 266,System responds correctly,New
TC_267,Core Web Feature,Verify feature functionality 267,System responds correctly,New
TC_268,Core Web Feature,Verify feature functionality 268,System responds correctly,New
TC_269,Core Web Feature,Verify feature functionality 269,System responds correctly,New
TC_270,Core Web Feature,Verify feature functionality 270,System responds correctly,New
TC_271,Core Web Feature,Verify feature functionality 271,System responds correctly,New
TC_272,Core Web Feature,Verify feature functionality 272,System responds correctly,New
TC_273,Core Web Feature,Verify feature functionality 273,System responds correctly,New
TC_274,Core Web Feature,Verify feature functionality 274,System responds correctly,New
TC_275,Core Web Feature,Verify feature functionality 275,System responds correctly,New
TC_276,Core Web Feature,Verify feature functionality 276,System responds correctly,New
TC_277,Core Web Feature,Verify feature functionality 277,System responds correctly,New
TC_278,Core Web Feature,Verify feature functionality 278,System responds correctly,New
TC_279,Core Web Feature,Verify feature functionality 279,System responds correctly,New
TC_280,Core Web Feature,Verify feature functionality 280,System responds correctly,New
TC_281,Core Web Feature,Verify feature functionality 281,System responds correctly,New
TC_282,Core Web Feature,Verify feature functionality 282,System responds correctly,New
TC_283,Core Web Feature,Verify feature functionality 283,System responds correctly,New
TC_284,Core Web Feature,Verify feature functionality 284,System responds correctly,New
TC_285,Core Web Feature,Verify feature functionality 285,System responds correctly,New
TC_286,Core Web Feature,Verify feature functionality 286,System responds correctly,New
TC_287,Core Web Feature,Verify feature functionality 287,System responds correctly,New
TC_288,Core Web Feature,Verify feature functionality 288,System responds correctly,New
TC_289,Core Web Feature,Verify feature functionality 289,System responds correctly,New
TC_290,Core Web Feature,Verify feature functionality 290,System responds correctly,New
TC_291,Core Web Feature,Verify feature functionality 291,System responds correctly,New
TC_292,Core Web Feature,Verify feature functionality 292,System responds correctly,New
TC_293,Core Web Feature,Verify feature functionality 293,System responds correctly,New
TC_294,Core Web Feature,Verify feature functionality 294,System responds correctly,New
TC_295,Core Web Feature,Verify feature functionality 295,System responds correctly,New
TC_296,Core Web Feature,Verify feature functionality 296,System responds correctly,New
TC_297,Core Web Feature,Verify feature functionality 297,System responds correctly,New
TC_298,Core Web Feature,Verify feature functionality 298,System responds correctly,New
TC_299,Core Web Feature,Verify feature functionality 299,System responds correctly,New
TC_300,Core Web Feature,Verify feature functionality 300,System responds correctly,New
