"ID","Bắt đầu","Deadline","Epic","Công việc","Owner","Hỗ trợ","Ưu tiên","Deliverable","Tiêu chí hoàn thành","Phụ thuộc","Trạng thái"
"G2-01","2026-05-26","2026-05-27","Invite & Notification","Tạo entity GroupInvitation với email, token, status, expiredAt","Duy Hoàng","Quang Minh","P0","Migration + entity","Invite có Pending, Accepted, Expired, Revoked; token không lộ dữ liệu nhạy cảm","G0-02","Planned"
"G2-02","2026-05-27","2026-05-28","Invite & Notification","Tạo API mời thành viên bằng email","Duy Hoàng","Quang Minh","P0","POST /api/groups/{id}/invitations","Owner/Admin nhập email và tạo invite được; trùng invite không spam","G2-01,G1-04","Planned"
"G2-03","2026-05-27","2026-05-28","Invite & Notification","Gửi thông báo trong app khi user đã tồn tại trong hệ thống","Duy Hoàng","Gia Long","P0","Notification record + realtime notification event","User được mời thấy thông báo invite trong app","G2-02","Planned"
"G2-04","2026-05-27","2026-05-28","Invite & Notification","Gửi email invite cho email chưa hoặc đã có tài khoản","Duy Hoàng","Quang Minh","P0","Email template + mail service call","Email có link accept invite và tên nhóm rõ ràng","G2-02","Planned"
"G2-05","2026-05-28","2026-05-29","Invite & Notification","Tạo API accept/reject invitation","Duy Hoàng","Quang Minh","P0","POST /api/groups/invitations/{token}/accept và reject","Accept sẽ thêm member vào nhóm, reject cập nhật trạng thái, token hết hạn bị chặn","G2-03,G2-04","Planned"
"G2-06","2026-05-28","2026-05-29","Invite & Notification","Tạo API quản lý member: đổi role, xóa member","Duy Hoàng","Quang Tuấn","P0","PUT/DELETE /api/groups/{id}/members/{userId}","Owner/Admin quản lý được, không xóa Owner cuối cùng","G0-03,G1-02","Planned"
"G3-01","2026-05-26","2026-05-27","Realtime Chat","Thiết kế SignalR GroupHub cho nhóm","Quang Tuấn","Quang Minh","P0","GroupHub skeleton","Có auth, join room theo GroupId, chặn user không thuộc nhóm","G0-03,G1-04","Planned"
"G3-02","2026-05-27","2026-05-28","Realtime Chat","Tạo entity GroupMessage và API lấy lịch sử chat có phân trang","Quang Minh","Quang Tuấn","P0","GET /api/groups/{id}/messages","Lấy được message mới nhất, phân trang ổn, chỉ member được đọc","G1-04","Planned"
"G3-03","2026-05-27","2026-05-28","Realtime Chat","Tạo SignalR event gửi và nhận tin nhắn realtime","Quang Tuấn","Gia Long","P0","SendMessage + ReceiveMessage","Hai user trong cùng nhóm nhìn thấy message realtime không cần refresh","G3-01,G3-02","Planned"
"G3-04","2026-05-28","2026-05-29","Realtime Chat","Thêm typing indicator và online presence","Quang Minh","Gia Long","P1","TypingStarted, TypingStopped, PresenceChanged","UI hiển thị ai đang online và ai đang nhập","G3-03","Planned"
"G3-05","2026-05-28","2026-05-29","Realtime Chat","Thêm read receipt cơ bản cho message","Quang Minh","Đoàn Trung","P1","Message read state","Message có trạng thái đã đọc theo user hiện tại hoặc count","G3-03","Planned"
"G3-06","2026-05-29","2026-05-30","Realtime Chat","Test SignalR auth và cross-group isolation","Quang Tuấn","Quang Minh","P0","Integration tests","User nhóm A không join hoặc đọc message nhóm B được","G3-03","Planned"
"G4-01","2026-05-27","2026-05-28","Poll & Vote","Tạo entity GroupPoll, GroupPollOption, GroupPollVote","Duy Hoàng","Quang Minh","P0","Migration + entities","Poll có câu hỏi, nhiều option, hạn vote, allowMultiple flag","G1-01","Planned"
"G4-02","2026-05-28","2026-05-29","Poll & Vote","Tạo API mở bình chọn trong nhóm","Duy Hoàng","Đoàn Trung","P0","POST /api/groups/{id}/polls","Owner/Admin tạo poll được, Member thường tùy policy được hoặc bị chặn theo config","G4-01,G0-03","Planned"
"G4-03","2026-05-28","2026-05-29","Poll & Vote","Tạo API vote, đổi vote, đóng vote, xem kết quả","Duy Hoàng","Quang Minh","P0","POST vote, PUT close, GET results","Một user không vote trùng sai rule, kết quả cập nhật chính xác","G4-02","Planned"
"G4-04","2026-05-29","2026-05-30","Poll & Vote","Broadcast poll update qua SignalR","Duy Hoàng","Gia Long","P1","PollUpdated event","Khi có người vote, UI nhóm nhận kết quả mới realtime","G4-03,G3-01","Planned"
"G5-01","2026-05-27","2026-05-28","Meeting & Screen Share","Chốt phương án meeting MVP bằng Jitsi/LiveKit embed thay vì tự viết media server trong tuần này","Quang Tuấn","Đoàn Trung","P0","Meeting integration decision","Có provider/config rõ, screen share được provider hỗ trợ","G0-01","Planned"
"G5-02","2026-05-28","2026-05-29","Meeting & Screen Share","Tạo entity GroupMeetingSession lưu roomId, provider, startedBy, startedAt, endedAt","Quang Minh","Quang Tuấn","P0","Migration + entity","Mỗi nhóm tạo được meeting session và lưu lịch sử","G5-01,G1-01","Planned"
"G5-03","2026-05-28","2026-05-29","Meeting & Screen Share","Tạo API start meeting, join meeting, end meeting","Quang Minh","Đoàn Trung","P0","POST /api/groups/{id}/meetings/start, join, end","Member nhóm join được room, user ngoài nhóm bị chặn","G5-02,G0-03","Planned"
"G5-04","2026-05-29","2026-05-30","Meeting & Screen Share","Tích hợp meeting room ở frontend và bật screen share từ provider","Đoàn Trung","Gia Long","P0","Meeting panel trên trang nhóm","User bấm bắt đầu meeting, thành viên khác join được, chia sẻ màn hình hoạt động trong provider","G5-03","Planned"
"G5-05","2026-05-30","2026-05-31","Meeting & Screen Share","Lưu meeting summary placeholder và link transcript nếu có Meetily import sau họp","Quốc Bảo","Chí Khang, Quang Minh","P1","Meeting note hook","Meeting session có chỗ gắn transcript/summary để AI xử lý sau","G5-03","Planned"
"G6-01","2026-05-26","2026-05-27","Frontend Group Page","Tạo route Groups và GroupDetail trong frontend","Gia Long","Đoàn Trung","P0","/groups và /groups/:id","User vào được trang danh sách nhóm và chi tiết nhóm","G0-04","Planned"
"G6-02","2026-05-27","2026-05-28","Frontend Group Page","Làm UI danh sách nhóm và modal tạo nhóm","Gia Long","Quang Minh","P0","Groups page UI","Tạo nhóm xong chuyển vào trang chi tiết nhóm","G1-03,G1-04","Planned"
"G6-03","2026-05-27","2026-05-29","Frontend Group Page","Làm layout chi tiết nhóm: header, member list, chat panel, tabs vote/meeting","Gia Long","Đoàn Trung","P0","Group detail shell","Trang nhóm có đủ vùng chức năng, responsive desktop cơ bản","G6-01","Planned"
"G6-04","2026-05-28","2026-05-29","Frontend Group Page","Ghép chat realtime SignalR vào UI","Gia Long","Quang Tuấn","P0","Realtime chat UI","Gửi và nhận message realtime, load history khi mở nhóm","G3-03,G6-03","Planned"
"G6-05","2026-05-28","2026-05-29","Frontend Group Page","Làm modal mời thành viên bằng email và màn hình pending invites","Gia Long","Duy Hoàng","P0","Invite member UI","Nhập email gửi invite được, hiển thị trạng thái pending/accepted","G2-02,G2-05","Planned"
"G6-06","2026-05-29","2026-05-30","Frontend Group Page","Làm UI quản lý member và role","Gia Long","Duy Hoàng","P0","Member management UI","Owner/Admin đổi role/xóa member, Member thường chỉ xem","G2-06","Planned"
"G6-07","2026-05-29","2026-05-30","Frontend Group Page","Làm UI vote: tạo poll, vote, xem kết quả, đóng poll","Đoàn Trung","Duy Hoàng","P0","Poll UI","Poll hoạt động từ đầu đến cuối trong trang nhóm","G4-03,G6-03","Planned"
"G6-08","2026-05-29","2026-05-30","Frontend Group Page","Làm UI meeting: start/join/end meeting và panel screen share provider","Đoàn Trung","Quang Minh","P0","Meeting UI","User trong nhóm có thể bắt đầu và tham gia meeting từ trang nhóm","G5-04,G6-03","Planned"
"G6-09","2026-05-30","2026-05-31","Frontend Group Page","Làm notification UI cho invite, group message mention, poll, meeting started","Đoàn Trung","Duy Hoàng","P1","Notification touchpoints","Thông báo quan trọng xuất hiện trong app, link về đúng nhóm","G2-03,G4-04,G5-03","Planned"
"G7-01","2026-05-28","2026-05-29","Create Project From Group","Tạo API tạo project từ nhóm","Quang Minh","Quang Tuấn","P0","POST /api/groups/{id}/create-project","Tạo project mới và tự add toàn bộ group members vào project","G1-02","Planned"
"G7-02","2026-05-28","2026-05-29","Create Project From Group","Map role nhóm sang role project","Quang Tuấn","Duy Hoàng","P0","Role mapping rule","Owner nhóm thành ProjectOwner/Owner, Admin thành Manager/PM, Member thành Member","G7-01,G0-03","Planned"
"G7-03","2026-05-29","2026-05-30","Create Project From Group","Cập nhật màn hình tạo project để chọn add từng người hoặc chọn nhóm","Gia Long","Đoàn Trung","P0","Project create member picker","User có thể chọn một group, preview member sẽ được thêm vào project","G7-01","Planned"
"G7-04","2026-05-30","2026-05-30","Create Project From Group","Thêm validation tránh add trùng member khi vừa chọn cá nhân vừa chọn nhóm","Quang Minh","Gia Long","P0","Deduplicate member logic","Project member không bị duplicate, role cao hơn được ưu tiên","G7-03","Planned"
"G7-05","2026-05-30","2026-05-31","Create Project From Group","Gửi notification cho group members khi project được tạo từ nhóm","Duy Hoàng","Gia Long","P1","Project created notification","Member nhận thông báo và link vào project mới","G7-01,G2-03","Planned"
"G8-01","2026-05-28","2026-05-29","AI Group Workflow","Tạo service gom context chat nhóm để AI tóm tắt","Quốc Bảo","Chí Khang","P0","Group AI context builder","AI chỉ đọc message trong nhóm user có quyền, có giới hạn token/window","G3-02","Planned"
"G8-02","2026-05-29","2026-05-30","AI Group Workflow","Tạo API AI tóm tắt thảo luận nhóm","Quốc Bảo","Quang Tuấn","P0","POST /api/groups/{id}/ai/summary","Trả về summary ngắn, decisions, unresolved questions","G8-01","Planned"
"G8-03","2026-05-29","2026-05-30","AI Group Workflow","Tạo API AI trích xuất action items từ chat hoặc meeting transcript","Chí Khang","Quốc Bảo","P0","POST /api/groups/{id}/ai/action-items","Trả về JSON action items có title, owner suggestion, due date suggestion, confidence","G8-01,G5-05","Planned"
"G8-04","2026-05-30","2026-05-31","AI Group Workflow","Tạo draft project scope và draft task list từ thảo luận nhóm","Quốc Bảo","Chí Khang, Quang Minh","P0","AI draft project payload","Draft không ghi DB trực tiếp, user phải confirm khi tạo project/tasks","G8-02,G8-03,G7-01","Planned"
"G8-05","2026-05-30","2026-05-31","AI Group Workflow","Ghép AI summary/action items vào frontend trang nhóm","Chí Khang","Gia Long","P1","AI panel trên group page","User bấm tạo summary/action items và xem kết quả trong UI","G8-02,G8-03,G6-03","Planned"
"G9-01","2026-05-29","2026-05-30","Testing & QA","Viết unit/integration test cho group CRUD và permission","Quang Tuấn","Quang Minh","P0","Backend tests","Tạo/list/update/delete nhóm đúng quyền, user ngoài nhóm bị chặn","G1-06","Planned"
"G9-02","2026-05-29","2026-05-30","Testing & QA","Viết test invite email, accept/reject, member role","Duy Hoàng","Quang Minh","P0","Backend tests","Invite flow pass, token hết hạn bị chặn, không xóa Owner cuối cùng","G2-06","Planned"
"G9-03","2026-05-30","2026-05-31","Testing & QA","Viết test poll/vote và create project from group","Duy Hoàng","Quang Tuấn","P0","Backend tests","Vote rule đúng, tạo project từ group add đủ member, không duplicate","G4-03,G7-04","Planned"
"G9-04","2026-05-30","2026-05-31","Testing & QA","Viết smoke test thủ công hoặc Playwright cho workflow nhóm end-to-end","Đoàn Trung","Gia Long","P0","E2E checklist hoặc test script","Tạo nhóm -> invite -> chat -> vote -> meeting -> tạo project từ nhóm chạy được","G6-08,G7-03","Planned"
"G9-05","2026-05-30","2026-05-31","Testing & QA","Test AI group summary/action items với dữ liệu mẫu","Quốc Bảo","Chí Khang","P0","AI test cases","Output JSON hợp lệ, không tự ghi task, có confidence và fallback khi lỗi AI","G8-04","Planned"
"G9-06","2026-05-31","2026-05-31","Testing & QA","Chạy dotnet test, npm build, kiểm tra migration và smoke demo trước khi chốt","Quang Tuấn","Toàn đội","P0","Final verification log","Build xanh, test xanh, workflow demo chạy từ đầu đến cuối","G9-01,G9-02,G9-03,G9-04,G9-05","Planned"
"G10-01","2026-05-31","2026-05-31","Demo & Documentation","Viết hướng dẫn demo workflow trang nhóm","Gia Long","Đoàn Trung","P0","Demo script","Có kịch bản demo 5-7 phút cho tạo nhóm, chat, vote, meeting, tạo project","G9-04","Planned"
"G10-02","2026-05-31","2026-05-31","Demo & Documentation","Cập nhật docs API và note giới hạn meeting MVP","Quang Minh","Quang Tuấn","P1","Docs update","Docs ghi rõ endpoint, permission, provider meeting, screen share qua provider","G5-04,G7-01","Planned"
"G10-03","2026-05-31","2026-05-31","Demo & Documentation","Chuẩn bị seed data demo gồm 1 organization, 1 group, 7 members, sample chat, poll, meeting","Đoàn Trung","Duy Hoàng","P1","Demo seed data","Demo có dữ liệu đẹp, không cần nhập tay toàn bộ","G6-09","Planned"
"G10-04","2026-05-31","2026-05-31","Integration Review","Code review tổng và fix blocker cuối ngày Chủ nhật","Quang Tuấn","Toàn đội","P0","Merged workflow branch","Không còn blocker P0, các lỗi còn lại được ghi rõ thành P1/P2","G9-06","Planned"
