req_id,requirement,use_case,api_endpoint,db_table,ui_screen,test_case,priority,owner,status
REQ-043,Tạo nhóm chat project,UC-CHAT-01,/api/v1/tasks/{taskId}/assign,chat_messages,CHAT Screen,TC-RBAC-018,Must Have,Owner theo WBS,Todo
REQ-044,Gửi tin nhắn văn bản,UC-CHAT-02,/api/v1/tasks/{taskId}/assign/{userId},meetings,CHAT Screen,TC-RBAC-019,Must Have,Owner theo WBS,Todo
REQ-045,Giao task trực tiếp từ chat,UC-CHAT-03,/api/v1/tasks/{taskId}/subtasks,meeting_participants,CHAT Screen,TC-RBAC-020,Must Have,Owner theo WBS,Todo
REQ-046,Link task vào tin nhắn,UC-CHAT-04,/api/v1/tasks/{taskId}/subtasks,meeting_agendas,CHAT Screen,TC-RBAC-021,Should Have,Owner theo WBS,Todo
REQ-047,Pin tin nhắn quan trọng,UC-CHAT-05,/api/v1/tasks/{taskId}/dependencies,meeting_agenda_items,CHAT Screen,TC-RBAC-022,Should Have,Owner theo WBS,Todo
REQ-048,Xem task được giao trong chat,UC-CHAT-06,/api/v1/tasks/{taskId}/dependencies/{depId},meeting_notes,CHAT Screen,TC-RBAC-023,Should Have,Owner theo WBS,Todo
REQ-049,Tạo meeting và ghi note,UC-MEETING-01,/api/v1/tasks/{taskId}/watch,meeting_note_sections,MEETING Screen,TC-RBAC-024,Should Have,Owner theo WBS,Todo
REQ-050,AI tóm tắt meeting,UC-MEETING-02,/api/v1/tasks/{taskId}/watch,meeting_action_items,MEETING Screen,TC-RBAC-025,Should Have,Owner theo WBS,Todo
REQ-051,Tạo action item từ meeting,UC-MEETING-03,/api/v1/tasks/{taskId}/status-change-request,meeting_recordings,MEETING Screen,TC-RBAC-026,Should Have,Owner theo WBS,Todo
REQ-052,Tạo wiki page,UC-WIKI-01,/api/v1/tasks/{taskId}/status-change-request/{reqId}/approve,meeting_ai_summaries,WIKI Screen,TC-RBAC-027,Must Have,Owner theo WBS,Todo
REQ-053,Chỉnh sửa wiki page versioning,UC-WIKI-02,/api/v1/tasks/{taskId}/status-change-request/{reqId}/reject,meeting_transcripts,WIKI Screen,TC-RBAC-028,Must Have,Owner theo WBS,Todo
REQ-054,Rollback phiên bản wiki cũ,UC-WIKI-03,/api/v1/tasks/{taskId}/evidences,wiki_pages,WIKI Screen,TC-RBAC-029,Should Have,Owner theo WBS,Todo
REQ-055,Hỏi AI về tiến độ project,UC-AI-01,/api/v1/tasks/{taskId}/evidences,wiki_page_comments,AI Screen,TC-RBAC-030,Should Have,Owner theo WBS,Todo
REQ-056,AI sinh báo cáo tiến độ tuần,UC-AI-02,/api/v1/tasks/{taskId}/activity,files,AI Screen,TC-RBAC-031,Should Have,Owner theo WBS,Todo
REQ-057,AI gợi ý assign task,UC-AI-03,/api/v1/tasks/{taskId}/time-logs,notifications,AI Screen,TC-RBAC-032,Nice to Have,Owner theo WBS,Todo
REQ-058,Sync dữ liệu project vào AI knowledge base,UC-AI-04,/api/v1/tasks/batch-status,webhooks,AI Screen,TC-RBAC-033,Should Have,Owner theo WBS,Todo
REQ-059,Upload tài liệu PDF/DOCX,UC-IMPORT-01,/api/v1/tasks/batch-archive,webhook_events,IMPORT Screen,TC-RBAC-034,Should Have,Owner theo WBS,Todo
REQ-060,AI phân tích và trích xuất task,UC-IMPORT-02,/api/v1/projects/{projectId}/kanban,webhook_deliveries,IMPORT Screen,TC-RBAC-035,Should Have,Owner theo WBS,Todo
REQ-061,Review và approve draft task,UC-IMPORT-03,/api/v1/projects/{projectId}/kanban/columns,webhook_delivery_retries,IMPORT Screen,TC-ORG-001,Should Have,Owner theo WBS,Todo
REQ-062,Import task vào project,UC-IMPORT-04,/api/v1/kanban/columns/{columnId},webhook_secrets,IMPORT Screen,TC-ORG-002,Should Have,Owner theo WBS,Todo
REQ-063,Xem tiến độ project customer view,UC-CUST-01,/api/v1/kanban/columns/{columnId},webhook_ip_whitelist,CUST Screen,TC-ORG-003,Must Have,Owner theo WBS,Todo
REQ-064,Gửi phản hồi về task,UC-CUST-02,/api/v1/kanban/columns/reorder,integrations,CUST Screen,TC-ORG-004,Should Have,Owner theo WBS,Todo
REQ-065,Xem thông tin public,UC-CUST-03,/api/v1/kanban/columns/{columnId}/tasks/move,integration_configs,CUST Screen,TC-ORG-005,Must Have,Owner theo WBS,Todo
REQ-066,Bật/tắt feature flag,UC-ADMIN-01,/api/v1/projects/{projectId}/kanban/filters,integration_sync_logs,ADMIN Screen,TC-ORG-006,Should Have,Owner theo WBS,Todo
REQ-067,Xem audit log hệ thống,UC-ADMIN-02,/api/v1/projects/{projectId}/kanban/filters,integration_field_mappings,ADMIN Screen,TC-ORG-007,Must Have,Owner theo WBS,Todo
REQ-068,Quản lý tenant,UC-ADMIN-03,/api/v1/projects/{projectId}/sprints,ai_knowledge_documents,ADMIN Screen,TC-ORG-008,Should Have,Owner theo WBS,Todo
